"CODCIA","CODAGCAUSA","CAUSA","OFICIOCAUSA","FECHA_CREACION","CODPFCAUSA","ACTIVO","ESWEBCLI"
1,44,"Equipos informáticos","Urgencia Cristalería",27/12/23,110,"0","N"
1,48,"Explosion","Urgencia Cristalería",27/12/23,110,"0","N"
1,5,"Fuga en instalación contraincendios","Urgencia Cristalería",27/12/23,110,"0","N"
1,47,"Humo","Urgencia Cristalería",27/12/23,110,"0","N"
1,164,"Hurto o pérdida de llaves","Urgencia Cristalería",27/12/23,110,"0","N"
1,127,"Hurto o pérdida de llaves","Urgencia Cristalería",27/12/23,110,"0","N"
1,46,"Incendio","Urgencia Cristalería",27/12/23,110,"0","N"
1,27,"Infidelidad de Empleados","Urgencia Cristalería",27/12/23,110,"0","N"
1,50,"Infidelidad de Empleados","Urgencia Cristalería",27/12/23,110,"0","N"
1,54,"Inhabilitabilidad por decisión de la autoridad","Urgencia Cristalería",27/12/23,110,"0","N"
1,183,"Inhabilitabilidad por decisión de la autoridad","Urgencia Cristalería",27/12/23,110,"0","N"
1,4,"Inundación-Desbordamiento","Urgencia Cristalería",27/12/23,110,"0","N"
1,10,"Inundación-Desbordamiento","Urgencia Cristalería",27/12/23,110,"0","N"
1,2,"Lluvia","Urgencia Cristalería",27/12/23,110,"0","N"
1,6,"Lluvia","Urgencia Cristalería",27/12/23,110,"0","N"
1,166,"Loza - Marmoles","Urgencia Cristalería",27/12/23,110,"0","N"
1,30,"Loza - Marmoles","Urgencia Cristalería",27/12/23,110,"0","N"
1,167,"Ondas Sónicas","Urgencia Cristalería",27/12/23,110,"0","N"
1,13,"Ondas Sónicas","Urgencia Cristalería",27/12/23,110,"0","N"
1,14,"Otros Riesgos Accidentales","Urgencia Cristalería",27/12/23,110,"0","N"
1,170,"Otros servicios","Urgencia Cristalería",27/12/23,110,"0","N"
1,40,"Otros servicios","Urgencia Cristalería",27/12/23,110,"0","N"
1,59,"Pedrisco-Nieve","Urgencia Cristalería",27/12/23,110,"0","N"
1,8,"Pedrisco-Nieve","Urgencia Cristalería",27/12/23,110,"0","N"
1,128,"RC Empleados domésticos","Urgencia Cristalería",27/12/23,110,"0","N"
1,172,"RC Empleados domésticos","Urgencia Cristalería",27/12/23,110,"0","N"
1,56,"Reclamación de daños","Urgencia Cristalería",27/12/23,110,"0","N"
1,173,"Reclamación de daños","Urgencia Cristalería",27/12/23,110,"0","N"
1,174,"Responsabilidad Civil","Urgencia Cristalería",27/12/23,110,"0","N"
1,55,"Responsabilidad Civil","Urgencia Cristalería",27/12/23,110,"0","N"
1,61,"Restablecimiento de agua","Urgencia Cristalería",27/12/23,110,"0","N"
1,60,"Restablecimiento de luz","Urgencia Cristalería",27/12/23,110,"0","N"
1,25,"Robo","Urgencia Cristalería",27/12/23,110,"0","N"
1,175,"Robo","Urgencia Cristalería",27/12/23,110,"0","N"
1,177,"Rotura acuario","Urgencia Cristalería",27/12/23,110,"0","N"
1,32,"Rotura acuario","Urgencia Cristalería",27/12/23,110,"0","N"
1,29,"Rotura de Cristales o Espejos","Urgencia Cristalería",27/12/23,110,"0","N"
1,180,"Rotura de Placa Vitrocerámica","Urgencia Cristalería",27/12/23,110,"0","N"
1,35,"Rotura de Placa Vitrocerámica","Urgencia Cristalería",27/12/23,110,"0","N"
1,179,"Rotura de Placas Solares","Urgencia Cristalería",27/12/23,110,"0","N"
1,34,"Rotura de Placas Solares","Urgencia Cristalería",27/12/23,110,"0","N"
1,176,"Rotura de Rotulos o Letreros","Urgencia Cristalería",27/12/23,110,"0","N"
1,31,"Rotura de Rotulos o Letreros","Urgencia Cristalería",27/12/23,110,"0","N"
1,178,"Rotura metacrilato","Urgencia Cristalería",27/12/23,110,"0","N"
1,33,"Rotura metacrilato","Urgencia Cristalería",27/12/23,110,"0","N"
1,125,"Ruina Total","Urgencia Cristalería",27/12/23,110,"0","N"
1,181,"Ruina Total","Urgencia Cristalería",27/12/23,110,"0","N"
1,51,"Uso fraudulento de tarjetas","Urgencia Cristalería",27/12/23,110,"0","N"
1,28,"Uso fraudulento de tarjetas","Urgencia Cristalería",27/12/23,110,"0","N"
1,184,"Viento","Urgencia Cristalería",27/12/23,110,"0","N"
1,9,"Viento","Urgencia Cristalería",27/12/23,110,"0","N"
1,130,"Restablecimiento de luz","Reparacion  electrodomesticos",27/12/23,82,"0","N"
1,131,"Restablecimiento de agua","Mármol",27/12/23,57,"0","N"
1,131,"Restablecimiento de agua","Antenista",27/12/23,48,"0","N"
1,131,"Restablecimiento de agua","Electricidad T.V.",27/12/23,78,"0","N"
1,132,"Apertura de puerta","Multiservicio",27/12/23,0,"0","N"
1,132,"Apertura de puerta","Urgencia Cristalería",27/12/23,110,"0","N"
1,135,"Caida de Rayo","Tejados",27/12/23,44,"0","N"
1,135,"Caida de Rayo","Cristaleria",27/12/23,53,"0","N"
1,136,"Choque o Impacto de Vehículos","Urgencia Fontanería",27/12/23,108,"0","N"
1,136,"Choque o Impacto de Vehículos","Urgencia Electricidad",27/12/23,109,"0","N"
